dc,switch,has_vlans,missing_vlans
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-03,"29, 30, 41, 52, 101, 147, 170, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614, 3300, 3366","21, 22, 504, 1299, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-04,"29, 30, 41, 52, 101, 147, 170, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614, 3300, 3366","21, 22, 504, 1299, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-05,500,"21, 22, 29, 30, 41, 52, 101, 147, 170, 250, 504, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1299, 1614, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-06,500,"21, 22, 29, 30, 41, 52, 101, 147, 170, 250, 504, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1299, 1614, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-07,,"21, 22, 29, 30, 41, 52, 101, 147, 170, 250, 500, 504, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1299, 1614, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-09,"29, 30, 41, 52, 101, 147, 170, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614, 3300, 3366","21, 22, 504, 1299, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-10,"29, 30, 41, 52, 101, 147, 170, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614, 3300, 3366","21, 22, 504, 1299, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-01,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-02,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-03,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-04,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-05,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-06,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-07,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-08,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-09,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC1,TU-VIC-DC1-L0-SW-COR-PRD-01,"211, 212, 213, 296, 298, 299",297
DC1,TU-VIC-DC1-L0-SW-COR-PRD-02,"211, 212, 213, 297, 298, 299",296
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-01,,"211, 212, 213, 296, 297, 298, 299"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-02,,"211, 212, 213, 296, 297, 298, 299"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-03,,"211, 212, 213, 296, 297, 298, 299"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-04,,"211, 212, 213, 296, 297, 298, 299"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-05,,"211, 212, 213, 296, 297, 298, 299"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-06,,"211, 212, 213, 296, 297, 298, 299"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-07,,"211, 212, 213, 296, 297, 298, 299"
DC1,TU-VIC-DC1-L0-SW-TOR-MGT-01,,"211, 212, 213, 296, 297, 298, 299"
DC1,TU-VIC-DC1-L0-SW-TOR-MGT-02,,"211, 212, 213, 296, 297, 298, 299"
DC1,TU-VIC-DC1-L0-SW-TOR-MGT-03,,"211, 212, 213, 296, 297, 298, 299"
DC1,TU-VIC-DC1-L0-SW-TOR-MGT-04,,"211, 212, 213, 296, 297, 298, 299"
DC1,TU-VIC-DC1-L0-SW-TOR-MGT-05,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-COR-PRD-01,"211, 212, 213, 296, 298, 299",297
DC2,TU-NSW-DC2-L0-SW-COR-PRD-02,"211, 212, 213, 297, 298, 299",296
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-01,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-02,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-03,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-04,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-05,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-06,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-07,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-09,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-10,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-01,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-02,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-03,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-04,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-05,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-06,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-07,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-08,,"211, 212, 213, 296, 297, 298, 299"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-09,,"211, 212, 213, 296, 297, 298, 299"
DC1,TU-VIC-DC1-L0-SW-COR-PRD-01,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3864, 3865, 3867, 3868, 3869","3863, 2807"
DC1,TU-VIC-DC1-L0-SW-COR-PRD-02,"65, 66, 692, 693, 2806, 3860, 3861, 3863, 3864, 3865, 3867, 3868, 3869","3862, 2807"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-01,"2806, 3865, 3867","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-02,"2806, 3865, 3867","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-03,"2806, 3865, 3867","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-04,"2806, 3865, 3867","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-05,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-06,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-07,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
DC1,TU-VIC-DC1-L0-SW-TOR-MGT-01,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
DC1,TU-VIC-DC1-L0-SW-TOR-MGT-02,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
DC1,TU-VIC-DC1-L0-SW-TOR-MGT-03,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
DC1,TU-VIC-DC1-L0-SW-TOR-MGT-04,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
DC1,TU-VIC-DC1-L0-SW-TOR-MGT-05,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-COR-PRD-01,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3864, 3868, 3869","3863, 3867, 3865"
DC2,TU-NSW-DC2-L0-SW-COR-PRD-02,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3863, 3864, 3868, 3869","3862, 3867, 3865"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-01,"2806, 2807","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-02,"2806, 2807","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-03,"2806, 2807","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-04,"2806, 2807","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-05,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-06,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-07,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-09,"2806, 2807","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-10,"2806, 2807","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-01,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-02,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-03,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-04,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-05,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-06,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-07,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-08,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-09,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC1,TU-VIC-DC1-L0-SW-COR-PRD-01,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3887, 3888, 3889",3886
DC1,TU-VIC-DC1-L0-SW-COR-PRD-02,"694, 695, 3681, 3682, 3880, 3881, 3882, 3886, 3887, 3888, 3889",3885
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-01,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-02,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-03,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-04,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-05,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-06,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TU-VIC-DC1-L0-SW-TOR-PRD-07,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TU-VIC-DC1-L0-SW-TOR-MGT-01,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TU-VIC-DC1-L0-SW-TOR-MGT-02,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TU-VIC-DC1-L0-SW-TOR-MGT-03,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TU-VIC-DC1-L0-SW-TOR-MGT-04,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TU-VIC-DC1-L0-SW-TOR-MGT-05,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-COR-PRD-01,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3887, 3888, 3889",3886
DC2,TU-NSW-DC2-L0-SW-COR-PRD-02,"694, 695, 3681, 3682, 3880, 3881, 3882, 3886, 3887, 3888, 3889",3885
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-01,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-02,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-03,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-04,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-05,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-06,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-07,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-09,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-PRD-10,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-01,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-02,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-03,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-04,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-05,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-06,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-07,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-08,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TU-NSW-DC2-L0-SW-TOR-MGT-09,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
