DC,Switch_Type,Switch,Has_VLANs,Missing_VLANs
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-04,"29, 30, 41, 52, 101, 147, 170, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614, 3300, 3366","21, 22, 504, 1299, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-05,500,"21, 22, 29, 30, 41, 52, 101, 147, 170, 250, 504, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1299, 1614, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-06,500,"21, 22, 29, 30, 41, 52, 101, 147, 170, 250, 504, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1299, 1614, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-07,,"21, 22, 29, 30, 41, 52, 101, 147, 170, 250, 500, 504, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1299, 1614, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-09,"29, 30, 41, 52, 101, 147, 170, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614, 3300, 3366","21, 22, 504, 1299, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-10,"29, 30, 41, 52, 101, 147, 170, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614, 3300, 3366","21, 22, 504, 1299, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
,,,,
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-01,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-02,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-03,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-04,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-05,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-06,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-07,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-08,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-09,"41, 52, 101, 147, 250, 500, 701, 702, 703, 1204, 1211, 1212, 1213, 1214, 1215, 1216, 1614","21, 22, 29, 30, 170, 504, 1299, 3300, 3366, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893, 3896, 3897"
