,TU-VIC-DC1-L0-SW-COR-PRD-01,TU-VIC-DC1-L0-SW-COR-PRD-02,TU-VIC-DC1-L0-SW-TOR-PRD-01,TU-VIC-DC1-L0-SW-TOR-PRD-02,TU-VIC-DC1-L0-SW-TOR-PRD-03,TU-VIC-DC1-L0-SW-TOR-PRD-04,TU-VIC-DC1-L0-SW-TOR-PRD-05,TU-VIC-DC1-L0-SW-TOR-PRD-06,TU-VIC-DC1-L0-SW-TOR-PRD-07,TU-VIC-DC1-L0-SW-TOR-MGT-01,TU-VIC-DC1-L0-SW-TOR-MGT-02,TU-VIC-DC1-L0-SW-TOR-MGT-03,TU-VIC-DC1-L0-SW-TOR-MGT-04,TU-VIC-DC1-L0-SW-TOR-MGT-05,TU-NSW-DC2-L0-SW-COR-PRD-01,TU-NSW-DC2-L0-SW-COR-PRD-02,TU-NSW-DC2-L0-SW-TOR-PRD-01,TU-NSW-DC2-L0-SW-TOR-PRD-02,TU-NSW-DC2-L0-SW-TOR-PRD-03,TU-NSW-DC2-L0-SW-TOR-PRD-04,TU-NSW-DC2-L0-SW-TOR-PRD-05,TU-NSW-DC2-L0-SW-TOR-PRD-06,TU-NSW-DC2-L0-SW-TOR-PRD-07,TU-NSW-DC2-L0-SW-TOR-PRD-09,TU-NSW-DC2-L0-SW-TOR-PRD-10,TU-NSW-DC2-L0-SW-TOR-MGT-01,TU-NSW-DC2-L0-SW-TOR-MGT-02,TU-NSW-DC2-L0-SW-TOR-MGT-03,TU-NSW-DC2-L0-SW-TOR-MGT-04,TU-NSW-DC2-L0-SW-TOR-MGT-05,TU-NSW-DC2-L0-SW-TOR-MGT-06,TU-NSW-DC2-L0-SW-TOR-MGT-07,TU-NSW-DC2-L0-SW-TOR-MGT-08,TU-NSW-DC2-L0-SW-TOR-MGT-09
Has_VLANs,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3864, 3865, 3867, 3868, 3869","65, 66, 692, 693, 2806, 3860, 3861, 3863, 3864, 3865, 3867, 3868, 3869","2806, 3865, 3867","2806, 3865, 3867","2806, 3865, 3867","2806, 3865, 3867",,,,,,,,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3864, 3868, 3869","65, 66, 692, 693, 2806, 2807, 3860, 3861, 3863, 3864, 3868, 3869","2806, 2807","2806, 2807","2806, 2807","2806, 2807",,,,"2806, 2807","2806, 2807",,,,,,,,,
Missing_VLANs,"2807, 3863","2807, 3862","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869","65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869","65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869","65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869","65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869","65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869","65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869","65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869","3863, 3865, 3867","3862, 3865, 3867","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869","65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
