,TU-VIC-DC1-L0-SW-COR-PRD-01,TU-VIC-DC1-L0-SW-COR-PRD-02,TU-VIC-DC1-L0-SW-TOR-PRD-01,TU-VIC-DC1-L0-SW-TOR-PRD-02,TU-VIC-DC1-L0-SW-TOR-PRD-03,TU-VIC-DC1-L0-SW-TOR-PRD-04,TU-VIC-DC1-L0-SW-TOR-PRD-05,TU-VIC-DC1-L0-SW-TOR-PRD-06,TU-VIC-DC1-L0-SW-TOR-PRD-07,TU-VIC-DC1-L0-SW-TOR-MGT-01,TU-VIC-DC1-L0-SW-TOR-MGT-02,TU-VIC-DC1-L0-SW-TOR-MGT-03,TU-VIC-DC1-L0-SW-TOR-MGT-04,TU-VIC-DC1-L0-SW-TOR-MGT-05,TU-NSW-DC2-L0-SW-COR-PRD-01,TU-NSW-DC2-L0-SW-COR-PRD-02,TU-NSW-DC2-L0-SW-TOR-PRD-01,TU-NSW-DC2-L0-SW-TOR-PRD-02,TU-NSW-DC2-L0-SW-TOR-PRD-03,TU-NSW-DC2-L0-SW-TOR-PRD-04,TU-NSW-DC2-L0-SW-TOR-PRD-05,TU-NSW-DC2-L0-SW-TOR-PRD-06,TU-NSW-DC2-L0-SW-TOR-PRD-07,TU-NSW-DC2-L0-SW-TOR-PRD-09,TU-NSW-DC2-L0-SW-TOR-PRD-10,TU-NSW-DC2-L0-SW-TOR-MGT-01,TU-NSW-DC2-L0-SW-TOR-MGT-02,TU-NSW-DC2-L0-SW-TOR-MGT-03,TU-NSW-DC2-L0-SW-TOR-MGT-04,TU-NSW-DC2-L0-SW-TOR-MGT-05,TU-NSW-DC2-L0-SW-TOR-MGT-06,TU-NSW-DC2-L0-SW-TOR-MGT-07,TU-NSW-DC2-L0-SW-TOR-MGT-08,TU-NSW-DC2-L0-SW-TOR-MGT-09
Has_VLANs,"211, 212, 213, 296, 298, 299","211, 212, 213, 297, 298, 299",,,,,,,,,,,,,"211, 212, 213, 296, 298, 299","211, 212, 213, 297, 298, 299",,,,,,,,,,,,,,,,,,
Missing_VLANs,297,296,"211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299",297,296,"211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299","211, 212, 213, 296, 297, 298, 299"
